Celebrate_Thanksgiving,main_dish,turkey_cooked?,living_situation,Age,gender,Income,US Region
Yes,Turkey,Roasted,Suburban,18 - 29,Female,Prefer not to answer,New England
Yes,Turkey,Other (please specify),Suburban,60+,Male,"$175,000 to $199,999",Middle Atlantic
Yes,Turkey,Baked,Urban,18 - 29,Male,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Fried,Suburban,30 - 44,Male,"$75,000 to $99,999",East South Central
Yes,Turkey,Roasted,Suburban,18 - 29,Female,"$0 to $9,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Female,"$200,000 and up",New England
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$125,000 to $149,999",Mountain
Yes,Turkey,Baked,Rural,60+,Male,"$50,000 to $74,999",West South Central
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$0 to $9,999",New England
Yes,Turkey,Baked,Suburban,60+,Female,"$50,000 to $74,999",East South Central
Yes,Turkey,Baked,Urban,18 - 29,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$100,000 to $124,999",East South Central
Yes,Turkey,Baked,Urban,18 - 29,Male,"$125,000 to $149,999",West North Central
Yes,Tofurkey,Baked,Urban,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$200,000 and up",Middle Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$150,000 to $174,999",South Atlantic
Yes,Turkey,Baked,Rural,30 - 44,Male,"$50,000 to $74,999",West North Central
Yes,Turkey,Roasted,Suburban,18 - 29,Female,"$25,000 to $49,999",New England
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$150,000 to $174,999",South Atlantic
Yes,Turkey,Fried,Suburban,60+,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Rural,18 - 29,Female,"$50,000 to $74,999",West North Central
Yes,Turkey,Baked,Rural,60+,Male,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Roasted,Urban,60+,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Other (please specify),Suburban,18 - 29,Female,Prefer not to answer,East North Central
Yes,Turkey,Other (please specify),Rural,30 - 44,Female,"$75,000 to $99,999",West South Central
Yes,Turkey,Baked,Urban,45 - 59,Male,"$200,000 and up",Mountain
Yes,Turkey,Baked,Suburban,30 - 44,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Male,Prefer not to answer,New England
Yes,Turkey,Baked,Suburban,30 - 44,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Urban,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Rural,60+,Female,"$200,000 and up",East South Central
Yes,Turkey,Baked,Rural,30 - 44,Female,"$75,000 to $99,999",Mountain
No,,,,18 - 29,Female,Prefer not to answer,West North Central
Yes,Turkey,Baked,Suburban,60+,Female,"$50,000 to $74,999",Mountain
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Suburban,60+,Male,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$200,000 and up",South Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$100,000 to $124,999",Pacific
Yes,Turkey,Roasted,,,,,
Yes,Ham/Pork,Baked,Suburban,30 - 44,Female,"$200,000 and up",Middle Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$200,000 and up",Middle Atlantic
Yes,Turkey,Roasted,Rural,18 - 29,Female,Prefer not to answer,Middle Atlantic
Yes,Ham/Pork,Roasted,Suburban,60+,Female,"$75,000 to $99,999",
Yes,Turkey,Roasted,Suburban,60+,Male,"$150,000 to $174,999",South Atlantic
No,,,,45 - 59,Male,"$75,000 to $99,999",Mountain
Yes,Turkey,Fried,Suburban,60+,Male,"$175,000 to $199,999",Middle Atlantic
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$200,000 and up",South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Rural,60+,Female,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Female,"$200,000 and up",Middle Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Baked,Urban,60+,Female,"$200,000 and up",Middle Atlantic
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Baked,Rural,18 - 29,Female,"$0 to $9,999",East North Central
Yes,Turkey,Roasted,Rural,60+,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Female,"$50,000 to $74,999",New England
Yes,Turkey,Other (please specify),Rural,60+,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Male,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",East North Central
Yes,Turkey,Other (please specify),Rural,30 - 44,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Female,"$25,000 to $49,999",
Yes,Turkey,Baked,Rural,18 - 29,Female,"$0 to $9,999",South Atlantic
Yes,Turkey,Fried,,,,,
Yes,Turkey,Roasted,Rural,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$75,000 to $99,999",West North Central
Yes,Turkey,Roasted,Rural,60+,Female,"$175,000 to $199,999",New England
Yes,Turkey,Baked,Urban,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
Yes,Ham/Pork,Other (please specify),Rural,30 - 44,Male,"$75,000 to $99,999",East North Central
No,,,,18 - 29,Female,"$0 to $9,999",Mountain
Yes,Ham/Pork,Baked,Suburban,30 - 44,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Baked,Rural,60+,Female,"$0 to $9,999",East South Central
Yes,Turkey,Baked,Suburban,30 - 44,Female,Prefer not to answer,Mountain
No,,,,45 - 59,Male,"$150,000 to $174,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$50,000 to $74,999",East North Central
Yes,Turkey,Roasted,Urban,45 - 59,Male,"$200,000 and up",Pacific
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$75,000 to $99,999",West North Central
Yes,Turkey,Baked,Urban,18 - 29,Male,"$0 to $9,999",South Atlantic
Yes,Turkey,Fried,Urban,60+,Male,"$10,000 to $24,999",East South Central
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",Pacific
Yes,Turkey,Roasted,Urban,30 - 44,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$100,000 to $124,999",Pacific
Yes,Turkey,Other (please specify),Urban,30 - 44,Male,"$100,000 to $124,999",West South Central
Yes,Turkey,Baked,Rural,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
Yes,Turkey,Baked,Urban,60+,Female,Prefer not to answer,West North Central
Yes,Turkey,Baked,Urban,30 - 44,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$200,000 and up",New England
Yes,Turkey,Baked,Urban,45 - 59,Male,"$10,000 to $24,999",East North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$75,000 to $99,999",West North Central
Yes,Turkey,Roasted,Suburban,60+,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$50,000 to $74,999",West South Central
Yes,,,,,,,
Yes,Other (please specify),Fried,Rural,45 - 59,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Suburban,30 - 44,Male,"$50,000 to $74,999",East South Central
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Rural,30 - 44,Male,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Baked,Rural,60+,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Fried,Urban,18 - 29,Female,"$100,000 to $124,999",West South Central
Yes,Ham/Pork,Baked,Rural,60+,Female,"$75,000 to $99,999",East South Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$50,000 to $74,999",West South Central
Yes,Turkey,Baked,Urban,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Female,"$100,000 to $124,999",Mountain
Yes,Turkey,Fried,Urban,30 - 44,Male,"$25,000 to $49,999",East North Central
Yes,Turkey,Fried,Suburban,30 - 44,Female,"$50,000 to $74,999",West South Central
Yes,Turkey,Fried,Suburban,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$150,000 to $174,999",South Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$200,000 and up",East South Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Other (please specify),Suburban,30 - 44,Male,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Urban,60+,Male,"$75,000 to $99,999",West North Central
Yes,Turkey,Baked,Urban,60+,Male,"$200,000 and up",East North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$175,000 to $199,999",South Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$175,000 to $199,999",Middle Atlantic
Yes,Turkey,I don't know,Suburban,18 - 29,Female,Prefer not to answer,East North Central
Yes,Turkey,Roasted,Urban,60+,Female,"$50,000 to $74,999",Pacific
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$200,000 and up",Middle Atlantic
Yes,Tofurkey,Roasted,Rural,18 - 29,Female,"$25,000 to $49,999",New England
Yes,Turkey,Roasted,Suburban,60+,Male,Prefer not to answer,New England
Yes,Turkey,Baked,Suburban,45 - 59,Female,Prefer not to answer,West North Central
Yes,Turkey,Baked,Urban,18 - 29,Male,"$100,000 to $124,999",East North Central
Yes,Chicken,Other (please specify),Suburban,60+,Male,"$25,000 to $49,999",South Atlantic
No,,,,30 - 44,Female,Prefer not to answer,
Yes,Tofurkey,Roasted,Suburban,60+,Female,"$125,000 to $149,999",South Atlantic
Yes,Turkey,Baked,,,,,
Yes,Turkey,Roasted,Suburban,30 - 44,Male,Prefer not to answer,West South Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$100,000 to $124,999",East North Central
Yes,Turkey,Roasted,Urban,30 - 44,Male,Prefer not to answer,New England
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$150,000 to $174,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$25,000 to $49,999",West North Central
Yes,Turkey,Roasted,Urban,60+,Female,"$25,000 to $49,999",East North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Male,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Baked,Rural,60+,Male,"$200,000 and up",West North Central
Yes,Turkey,Roasted,Suburban,60+,Male,"$175,000 to $199,999",East North Central
Yes,Turkey,Baked,Urban,30 - 44,Female,"$50,000 to $74,999",West North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Male,"$200,000 and up",East North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Female,Prefer not to answer,South Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Male,"$25,000 to $49,999",
Yes,Turkey,Baked,Rural,30 - 44,Female,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Roasted,Rural,18 - 29,Female,"$10,000 to $24,999",East North Central
Yes,Turkey,Baked,Suburban,18 - 29,Male,"$75,000 to $99,999",East North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Suburban,18 - 29,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Roasted,Rural,45 - 59,Male,Prefer not to answer,East South Central
Yes,Turkey,Other (please specify),Suburban,60+,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$125,000 to $149,999",South Atlantic
Yes,Turkey,Baked,Suburban,60+,Female,Prefer not to answer,West North Central
Yes,Turkey,Roasted,Urban,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
Yes,Turkey,Baked,Rural,60+,Male,"$50,000 to $74,999",East North Central
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$0 to $9,999",Middle Atlantic
Yes,Other (please specify),Baked,Urban,45 - 59,Female,"$10,000 to $24,999",East South Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$200,000 and up",West South Central
Yes,Turkey,Baked,Urban,30 - 44,Female,"$10,000 to $24,999",East North Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",East North Central
Yes,Turkey,Roasted,Urban,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,Rural,45 - 59,Female,"$100,000 to $124,999",East North Central
Yes,Turkey,Roasted,Urban,45 - 59,Female,"$25,000 to $49,999",East South Central
Yes,Turkey,Baked,Suburban,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
Yes,Turkey,Baked,Urban,18 - 29,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Suburban,60+,Female,"$200,000 and up",Middle Atlantic
Yes,Turkey,Roasted,Suburban,60+,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Rural,60+,Male,"$25,000 to $49,999",South Atlantic
Yes,Chicken,Roasted,Rural,18 - 29,Male,"$10,000 to $24,999",
Yes,Ham/Pork,Baked,Suburban,45 - 59,Female,"$150,000 to $174,999",South Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Female,Prefer not to answer,East North Central
Yes,Turkey,Roasted,Rural,45 - 59,Female,Prefer not to answer,New England
Yes,Turkey,Other (please specify),Suburban,60+,Male,Prefer not to answer,West North Central
Yes,Turkey,Baked,Rural,60+,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Female,Prefer not to answer,South Atlantic
No,,,,18 - 29,Male,"$50,000 to $74,999",West South Central
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Female,"$150,000 to $174,999",West South Central
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
No,,,,45 - 59,Female,"$10,000 to $24,999",East South Central
Yes,Turkey,Roasted,Suburban,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Baked,Urban,60+,Female,"$25,000 to $49,999",East South Central
Yes,Turkey,Baked,Urban,45 - 59,Female,"$125,000 to $149,999",West North Central
Yes,Other (please specify),Baked,Urban,30 - 44,Male,"$100,000 to $124,999",East North Central
Yes,Turkey,Roasted,Suburban,60+,Female,"$175,000 to $199,999",East North Central
Yes,Turkey,Baked,Suburban,60+,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Baked,Urban,18 - 29,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Baked,Rural,60+,Male,"$100,000 to $124,999",East North Central
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Other (please specify),Rural,45 - 59,Female,"$200,000 and up",South Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Female,"$75,000 to $99,999",East North Central
Yes,Turkey,Roasted,Suburban,30 - 44,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Baked,Urban,30 - 44,Female,Prefer not to answer,East North Central
Yes,Turkey,Roasted,Urban,30 - 44,Male,"$25,000 to $49,999",
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$200,000 and up",East South Central
Yes,Ham/Pork,Baked,Suburban,18 - 29,Female,"$100,000 to $124,999",West North Central
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$50,000 to $74,999",New England
Yes,Turkey,Baked,Urban,45 - 59,Male,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$100,000 to $124,999",East South Central
Yes,Chicken,Roasted,Urban,30 - 44,Female,"$0 to $9,999",
Yes,Turkey,Roasted,Suburban,45 - 59,Female,"$25,000 to $49,999",Pacific
Yes,Turkey,Baked,Urban,45 - 59,Female,"$200,000 and up",South Atlantic
Yes,Other (please specify),Baked,Suburban,45 - 59,Female,"$100,000 to $124,999",East South Central
Yes,Turkey,Roasted,Urban,60+,Female,"$100,000 to $124,999",Pacific
Yes,Turkey,Roasted,Urban,60+,Male,Prefer not to answer,South Atlantic
Yes,Other (please specify),Other (please specify),Suburban,60+,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Roasted,Urban,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
Yes,Turkey,Baked,Rural,30 - 44,Female,"$10,000 to $24,999",South Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Female,"$50,000 to $74,999",East North Central
Yes,Turkey,Roasted,Suburban,60+,Male,Prefer not to answer,Mountain
Yes,Turkey,Roasted,Suburban,18 - 29,Male,Prefer not to answer,Mountain
Yes,Turkey,Fried,Rural,45 - 59,Female,"$25,000 to $49,999",West North Central
Yes,Turkey,Roasted,Urban,45 - 59,Male,"$150,000 to $174,999",West South Central
Yes,Turkey,Baked,Rural,45 - 59,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Rural,45 - 59,Female,"$25,000 to $49,999",West North Central
Yes,Turkey,Roasted,,,,,
Yes,Turkey,Fried,Suburban,45 - 59,Male,Prefer not to answer,South Atlantic
Yes,Other (please specify),Other (please specify),Suburban,45 - 59,Female,"$150,000 to $174,999",East South Central
Yes,Turkey,Roasted,Urban,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,Prefer not to answer,East North Central
Yes,Turkey,Baked,Rural,60+,Female,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Fried,Rural,60+,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Rural,30 - 44,Male,"$200,000 and up",New England
Yes,Turkey,Baked,Rural,45 - 59,Female,"$150,000 to $174,999",Middle Atlantic
Yes,Turkey,Baked,Urban,30 - 44,Male,"$125,000 to $149,999",East North Central
Yes,Turkey,Baked,Rural,45 - 59,Female,"$150,000 to $174,999",East North Central
Yes,Turkey,Baked,Suburban,30 - 44,Male,"$100,000 to $124,999",West South Central
Yes,Turkey,Roasted,Suburban,60+,Male,"$100,000 to $124,999",South Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Male,"$200,000 and up",West South Central
Yes,Turkey,Roasted,Rural,60+,Female,"$25,000 to $49,999",New England
Yes,Turkey,Roasted,Suburban,60+,Female,"$100,000 to $124,999",New England
Yes,Turkey,Baked,Rural,60+,Male,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Suburban,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
Yes,Turkey,Baked,Urban,45 - 59,Female,Prefer not to answer,Middle Atlantic
Yes,Turkey,Baked,Suburban,45 - 59,Female,"$50,000 to $74,999",South Atlantic
Yes,Turkey,Roasted,Suburban,60+,Male,"$75,000 to $99,999",South Atlantic
Yes,Turkey,Baked,Suburban,30 - 44,Female,Prefer not to answer,Middle Atlantic
No,,,,45 - 59,Female,"$75,000 to $99,999",New England
Yes,Ham/Pork,Baked,Suburban,45 - 59,Female,"$25,000 to $49,999",South Atlantic
Yes,Turkey,Baked,Suburban,60+,Female,"$25,000 to $49,999",East North Central
